#,Your Ethereum Wallet Address,Start Date (UTC),Submit Date (UTC),Network ID
5qt9g35b7tknrmer425qt9hfosj7tsql,0xBe51C2398D110274c36849bf83a32c0Ed7F55FD3,2020-11-30 00:53:38,2020-11-30 00:53:46,9b43f6545c
469vm9jnpgyf1amt5469vm9qhqoq9awo,0xbC2456E3ed4Ab535b56Ba7dDA71180Ee556Fe346,2020-11-30 00:49:33,2020-11-30 00:49:39,2a73220cca
51wg4yiz93vwi51wg10vk0h9wd9y8v9c,0xbC2456E3ed4Ab535b56Ba7dDA71180Ee556Fe346,2020-11-30 00:45:43,2020-11-30 00:45:49,2a73220cca
c32t3ws12gh2lic32t3wbp665swwx76p,0x923fA707e31Fb7fC9be2Bd8683DF88d4D8cCb48C,2020-11-30 00:13:52,2020-11-30 00:14:53,f28ba5ec71
kivrhuwfkzssfxtcfc6hkivrim293ydd,0xc7f917B40D62E37e3d9D8250423020E791B13C52,2020-11-30 00:06:07,2020-11-30 00:06:10,ec1f1d3317
wxoty210c9vyrlohkwxotyhd45mfwt2n,0xc8d580c86bBc3A2dD4E6898Bb4ff428a2C70f2d2,2020-11-30 00:05:33,2020-11-30 00:05:37,ec1f1d3317
6m3w5m2b1w8c5u4yfe8j6m3w5gu0ls3t,0x7112e07D6602c28180A55dD768fB3E36B5931561,2020-11-29 21:29:45,2020-11-29 21:30:05,ede5bed320
bzt6olvev97b6xjt2bzt6olybs54ucat,0x9A25211A8DCf0a389139e2015Ac4A1208F967221,2020-11-29 21:19:37,2020-11-29 21:19:47,4ae6a22f0c
6nbr5sk7z5bbc5ip1e0j6nbr58go2ohj,0x9A25211A8DCf0a389139e2015Ac4A1208F967221,2020-11-29 21:19:06,2020-11-29 21:19:13,4ae6a22f0c
efaxf2tb1dcngycefax79i226laoz7u1,0x5dcf300A52434930e441da7970ed488303caf490,2020-11-29 20:59:50,2020-11-29 21:01:26,ba49fa37c6
eazkmbfibv9q1hr8ssaeazkm4kkkpopl,0x24b87ccE6119BB046AD631E4D23597Dbe18915B8,2020-11-29 20:08:00,2020-11-29 20:08:46,d508c80d3b
3larfn9oza5w5a3lab078egex45rywqj,0x0e3600a5a4ff26449bb410d50088a41430c08469,2020-11-29 19:46:03,2020-11-29 19:46:16,a59cbf9cf0
wuyp6g0uj0w4s8u7cunwuyp6z886rckf,0x5f35c52720a2c9b20b85be6FCdEc0E31c5eF9B88,2020-11-29 19:11:37,2020-11-29 19:13:05,dbc73cea0e
